@id,@notation,@status,rdf:type,rdfs:label,reg:notation
<http://codes.wmo.int/306/4678/-RASGDZ>,-RASGDZ,stable,skos:Concept,"'Light precipitation of rain, snow grains and drizzle'@en",""
<http://codes.wmo.int/306/4678/-RASGSN>,-RASGSN,stable,skos:Concept,"'Light precipitation of rain, snow grains and snow'@en",""
<http://codes.wmo.int/306/4678/-RASN>,-RASN,stable,skos:Concept,'Light precipitation of rain and snow'@en,""
<http://codes.wmo.int/306/4678/-RASNDZ>,-RASNDZ,stable,skos:Concept,"'Light precipitation of rain, snow and drizzle'@en",""
<http://codes.wmo.int/306/4678/-RASNPL>,-RASNPL,stable,skos:Concept,"'Light precipitation of rain, snow and ice pellets'@en",""
<http://codes.wmo.int/306/4678/-RASNSG>,-RASNSG,stable,skos:Concept,"'Light precipitation of rain, snow and snow grains'@en",""
<http://codes.wmo.int/306/4678/-SG>,-SG,stable,skos:Concept,'Light precipitation of snow grains'@en,""
<http://codes.wmo.int/306/4678/-SGDZ>,-SGDZ,stable,skos:Concept,'Light precipitation of snow grains and drizzle'@en,""
<http://codes.wmo.int/306/4678/-SGDZRA>,-SGDZRA,stable,skos:Concept,"'Light precipitation of snow grains, drizzle and rain'@en",""
<http://codes.wmo.int/306/4678/-SGPL>,-SGPL,stable,skos:Concept,'Light precipitation of snow grains and ice pellets'@en,""
<http://codes.wmo.int/306/4678/-SGPLSN>,-SGPLSN,stable,skos:Concept,"'Light precipitation of snow grains, ice pellets and snow'@en",""
<http://codes.wmo.int/306/4678/-SGRA>,-SGRA,stable,skos:Concept,'Light precipitation of snow grains and rain'@en,""
<http://codes.wmo.int/306/4678/-SGRADZ>,-SGRADZ,stable,skos:Concept,"'Light precipitation of snow grains, rain and drizzle'@en",""
<http://codes.wmo.int/306/4678/-SGRASN>,-SGRASN,stable,skos:Concept,"'Light precipitation of snow grains, rain and snow'@en",""
<http://codes.wmo.int/306/4678/-SGSN>,-SGSN,stable,skos:Concept,'Light precipitation of snow grains and snow'@en,""
<http://codes.wmo.int/306/4678/-SGSNPL>,-SGSNPL,stable,skos:Concept,"'Light precipitation of snow grains, snow and ice pellets'@en",""
<http://codes.wmo.int/306/4678/-SGSNRA>,-SGSNRA,stable,skos:Concept,"'Light precipitation of snow grains, snow and rain'@en",""
<http://codes.wmo.int/306/4678/-SHGR>,-SHGR,stable,skos:Concept,'Light showery precipitation of hail'@en,""
<http://codes.wmo.int/306/4678/-SHGRRA>,-SHGRRA,stable,skos:Concept,'Light showery precipitation of hail and rain'@en,""
<http://codes.wmo.int/306/4678/-SHGRRASN>,-SHGRRASN,stable,skos:Concept,"'Light showery precipitation of hail, rain and snow'@en",""
<http://codes.wmo.int/306/4678/-SHGRSN>,-SHGRSN,stable,skos:Concept,'Light showery precipitation of hail and snow'@en,""
<http://codes.wmo.int/306/4678/-SHGRSNRA>,-SHGRSNRA,stable,skos:Concept,"'Light showery precipitation of hail, snow and rain'@en",""
<http://codes.wmo.int/306/4678/-SHGS>,-SHGS,stable,skos:Concept,'Light showery precipitation of snow pellets/small hail'@en,""
